site,taxon,class,n
17,FAVI,<4cm,0
17,FAVI,>4cm,0
17,FFRA,>4cm,0
17,MADR,<4cm,1
17,MADR,>4cm,2
17,MANG,>4cm,0
17,MCAV,<4cm,1
17,MCAV,>4cm,5
17,MEAN,<4cm,0
17,MMEA,>4cm,0
17,MUSS,<4cm,0
17,MYCE,>4cm,0
17,OCUL,<4cm,0
17,OCUL,>4cm,0
17,ORBI,<4cm,0
17,ORBI,>4cm,0
17,PAME,<4cm,0
17,PAME,>4cm,0
17,PORI,<4cm,0
17,PORI,>4cm,1
17,SCOL,>4cm,0
17,SIDE,<4cm,6
17,SIDE,>4cm,6
17,SINT,<4cm,1
17,SINT,>4cm,8
17,SOLE,<4cm,0
17,SOLE,>4cm,0
18,ACER,<4cm,0
18,ACER,>4cm,0
18,AGAR,<4cm,0
18,AGAR,>4cm,0
18,DSTO,>4cm,0
18,EFAS,>4cm,0
18,FAVI,<4cm,1
18,FAVI,>4cm,0
18,FFRA,>4cm,0
18,MADR,<4cm,0
18,MADR,>4cm,0
18,MANG,>4cm,0
18,MCAV,<4cm,0
18,MCAV,>4cm,1
18,MEAN,<4cm,0
18,MMEA,>4cm,0
18,MUSS,<4cm,0
18,MYCE,>4cm,0
18,OCUL,<4cm,0
18,OCUL,>4cm,0
18,ORBI,<4cm,0
18,ORBI,>4cm,0
18,PAME,<4cm,0
18,PAME,>4cm,0
18,PORI,<4cm,3
18,PORI,>4cm,4
18,SCOL,>4cm,0
18,SIDE,<4cm,24
18,SIDE,>4cm,8
18,SINT,<4cm,0
18,SINT,>4cm,3
18,SOLE,<4cm,0
18,SOLE,>4cm,0
19,ACER,<4cm,0
19,ACER,>4cm,0
19,AGAR,<4cm,0
19,AGAR,>4cm,0
19,DSTO,>4cm,1
19,EFAS,>4cm,0
19,FAVI,<4cm,0
19,FAVI,>4cm,0
19,FFRA,>4cm,0
19,MADR,<4cm,0
19,MADR,>4cm,0
19,MANG,>4cm,0
19,MCAV,<4cm,0
19,MCAV,>4cm,2
19,MEAN,<4cm,0
19,MMEA,>4cm,0
19,MUSS,<4cm,0
19,MYCE,>4cm,0
19,OCUL,<4cm,0
19,OCUL,>4cm,0
19,ORBI,<4cm,0
19,ORBI,>4cm,1
19,PAME,<4cm,0
19,PAME,>4cm,0
19,PORI,<4cm,0
19,PORI,>4cm,1
19,SCOL,>4cm,0
19,SIDE,<4cm,38
19,SIDE,>4cm,1
19,SINT,<4cm,1
19,SINT,>4cm,4
19,SOLE,<4cm,0
19,SOLE,>4cm,1
20,ACER,<4cm,0
20,ACER,>4cm,0
20,AGAR,<4cm,0
20,AGAR,>4cm,1
20,DSTO,>4cm,0
20,EFAS,>4cm,0
20,FAVI,<4cm,0
20,FAVI,>4cm,0
20,FFRA,>4cm,0
20,MADR,<4cm,0
20,MADR,>4cm,0
20,MANG,>4cm,0
20,MCAV,<4cm,5
20,MCAV,>4cm,0
20,MEAN,<4cm,0
20,MMEA,>4cm,1
20,MUSS,<4cm,0
20,MYCE,>4cm,0
20,OCUL,<4cm,0
20,OCUL,>4cm,0
20,ORBI,<4cm,0
20,ORBI,>4cm,0
20,PAME,<4cm,0
20,PAME,>4cm,0
20,PORI,<4cm,1
20,PORI,>4cm,4
20,SCOL,>4cm,0
20,SIDE,<4cm,22
20,SIDE,>4cm,4
20,SINT,<4cm,4
20,SINT,>4cm,2
20,SOLE,<4cm,0
20,SOLE,>4cm,1
21,ACER,<4cm,0
21,ACER,>4cm,0
21,AGAR,<4cm,0
21,AGAR,>4cm,0
21,DSTO,>4cm,1
21,EFAS,>4cm,0
21,FAVI,<4cm,1
21,FAVI,>4cm,0
21,FFRA,>4cm,0
21,MADR,<4cm,0
21,MADR,>4cm,0
21,MANG,>4cm,0
21,MCAV,<4cm,1
21,MCAV,>4cm,1
21,MEAN,<4cm,0
21,MMEA,>4cm,0
21,MUSS,<4cm,0
21,MYCE,>4cm,0
21,OCUL,<4cm,0
21,OCUL,>4cm,0
21,ORBI,<4cm,0
21,ORBI,>4cm,0
21,PAME,<4cm,0
21,PAME,>4cm,0
21,PORI,<4cm,0
21,PORI,>4cm,1
21,SCOL,>4cm,0
21,SIDE,<4cm,18
21,SIDE,>4cm,2
21,SINT,<4cm,2
21,SINT,>4cm,4
21,SOLE,<4cm,0
21,SOLE,>4cm,0
22,ACER,<4cm,0
22,ACER,>4cm,0
22,AGAR,<4cm,0
22,AGAR,>4cm,0
22,DSTO,>4cm,0
22,EFAS,>4cm,0
22,FAVI,<4cm,0
22,FAVI,>4cm,1
22,FFRA,>4cm,0
22,MADR,<4cm,0
22,MADR,>4cm,0
22,MANG,>4cm,0
22,MCAV,<4cm,9
22,MCAV,>4cm,1
22,MEAN,<4cm,1
22,MMEA,>4cm,0
22,MUSS,<4cm,0
22,MYCE,>4cm,0
22,OCUL,<4cm,0
22,OCUL,>4cm,1
22,ORBI,<4cm,0
22,ORBI,>4cm,0
22,PAME,<4cm,0
22,PAME,>4cm,0
22,PORI,<4cm,1
22,PORI,>4cm,4
22,SCOL,>4cm,0
22,SIDE,<4cm,26
22,SIDE,>4cm,4
22,SINT,<4cm,3
22,SINT,>4cm,2
22,SOLE,<4cm,0
22,SOLE,>4cm,0
23,ACER,<4cm,0
23,ACER,>4cm,0
23,AGAR,<4cm,1
23,AGAR,>4cm,1
23,DSTO,>4cm,1
23,EFAS,>4cm,1
23,FAVI,<4cm,2
23,FAVI,>4cm,0
23,FFRA,>4cm,0
23,MADR,<4cm,0
23,MADR,>4cm,0
23,MANG,>4cm,0
23,MCAV,<4cm,5
23,MCAV,>4cm,3
23,MEAN,<4cm,2
23,MMEA,>4cm,1
23,MUSS,<4cm,1
23,MYCE,>4cm,0
23,OCUL,<4cm,0
23,OCUL,>4cm,0
23,ORBI,<4cm,0
23,ORBI,>4cm,0
23,PAME,<4cm,0
23,PAME,>4cm,0
23,PORI,<4cm,1
23,PORI,>4cm,2
23,SCOL,>4cm,0
23,SIDE,<4cm,14
23,SIDE,>4cm,7
23,SINT,<4cm,7
23,SINT,>4cm,11
23,SOLE,<4cm,1
23,SOLE,>4cm,0
24,ACER,<4cm,0
24,ACER,>4cm,0
24,AGAR,<4cm,0
24,AGAR,>4cm,0
24,DSTO,>4cm,0
24,EFAS,>4cm,0
24,FAVI,<4cm,0
24,FAVI,>4cm,0
24,FFRA,>4cm,0
24,MADR,<4cm,0
24,MADR,>4cm,0
24,MANG,>4cm,0
24,MCAV,<4cm,2
24,MCAV,>4cm,6
24,MEAN,<4cm,1
24,MMEA,>4cm,0
24,MUSS,<4cm,0
24,MYCE,>4cm,0
24,OCUL,<4cm,0
24,OCUL,>4cm,0
24,ORBI,<4cm,0
24,ORBI,>4cm,0
24,PAME,<4cm,0
24,PAME,>4cm,0
24,PORI,<4cm,6
24,PORI,>4cm,9
24,SCOL,>4cm,0
24,SIDE,<4cm,24
24,SIDE,>4cm,7
24,SINT,<4cm,3
24,SINT,>4cm,7
24,SOLE,<4cm,1
24,SOLE,>4cm,0
25,ACER,<4cm,0
25,ACER,>4cm,0
25,AGAR,<4cm,0
25,AGAR,>4cm,0
25,DSTO,>4cm,2
25,EFAS,>4cm,0
25,FAVI,<4cm,0
25,FAVI,>4cm,0
25,FFRA,>4cm,0
25,MADR,<4cm,1
25,MADR,>4cm,1
25,MANG,>4cm,0
25,MCAV,<4cm,14
25,MCAV,>4cm,4
25,MEAN,<4cm,0
25,MMEA,>4cm,2
25,MUSS,<4cm,0
25,MYCE,>4cm,0
25,OCUL,<4cm,0
25,OCUL,>4cm,0
25,ORBI,<4cm,1
25,ORBI,>4cm,0
25,PAME,<4cm,0
25,PAME,>4cm,0
25,PORI,<4cm,17
25,PORI,>4cm,24
25,SCOL,>4cm,0
25,SIDE,<4cm,60
25,SIDE,>4cm,13
25,SINT,<4cm,6
25,SINT,>4cm,7
25,SOLE,<4cm,2
25,SOLE,>4cm,0
26,ACER,<4cm,0
26,ACER,>4cm,0
